
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
1050,0x000E,1,FALSE,52.27350,0.21009,0.18930,4.00360,NAN,NAN,9.70000
1060,0x000E,1,FALSE,52.77189,0.21209,0.18930,4.00330,NAN,NAN,9.60000
1070,0x000E,1,FALSE,53.32011,0.21428,0.18930,4.00300,NAN,NAN,9.70000
1080,0x000E,1,FALSE,53.81828,0.21628,0.18930,4.00270,NAN,NAN,9.70000
1090,0x000E,1,FALSE,54.31664,0.21827,0.18930,4.00230,NAN,NAN,9.80000
1100,0x000E,1,FALSE,54.81495,0.22027,0.18930,4.00210,NAN,NAN,9.80000
1110,0x000E,1,FALSE,55.26367,0.22206,0.18930,4.00180,NAN,NAN,9.90000
1120,0x000E,1,FALSE,55.76217,0.22406,0.18930,4.00160,NAN,NAN,9.90000
1130,0x000E,1,FALSE,56.26058,0.22605,0.18930,4.00130,NAN,NAN,9.90000
1140,0x000E,1,FALSE,56.75895,0.22805,0.18930,4.00100,NAN,NAN,10.00000
1150,0x000E,1,FALSE,57.25727,0.23004,0.18930,4.00080,NAN,NAN,10.00000
1160,0x000E,1,FALSE,57.80553,0.23223,0.18930,4.00050,NAN,NAN,10.00000
1170,0x000E,1,FALSE,58.30403,0.23423,0.18930,4.00020,NAN,NAN,10.00000
1180,0x000E,1,FALSE,58.80258,0.23622,0.18930,3.99990,NAN,NAN,10.00000
1190,0x000E,1,FALSE,59.30111,0.23821,0.18930,3.99970,NAN,NAN,10.10000
1200,0x000E,1,FALSE,59.74955,0.24001,0.18930,3.99940,NAN,NAN,10.10000
1210,0x000E,1,FALSE,60.24783,0.24200,0.18930,3.99920,NAN,NAN,10.10000
